model,graph,seed,split,h,rmse,mae,r2
m1,real,1234,val,2,0.8121598488661416,0.5692152007457401,0.3031782248110577
m1,real,1234,test,2,0.8120057595589832,0.5750426214380715,0.30422491790628714
m1,real,1234,val,4,0.8908215314053667,0.6147972412599725,0.12983298378649233
m1,real,1234,test,4,0.9248193464261568,0.6391462865289903,0.12965366621409835
m1,real,1234,val,8,0.9503813326883236,0.651109104360038,0.02206035140718976
m1,real,1234,test,8,0.9604239349811969,0.6625992649050795,0.01924934312615323
m2,real,1234,val,2,0.8100559744721686,0.5712254504596833,0.30678373829636874
m2,real,1234,test,2,0.7829984353627747,0.5651175992360803,0.35304743321175125
m2,real,1234,val,4,0.8964553743889041,0.6182754169738445,0.11879174534283754
m2,real,1234,test,4,0.9094677516725184,0.6376318670275162,0.15830857963806055
m2,real,1234,val,8,0.9571716327153672,0.6561788943590519,0.008036030890158141
m2,real,1234,test,8,0.9591412503998095,0.660841757132453,0.021867257256540262
m3,real,1234,val,2,0.8146798762092089,0.5814800849313747,0.29884721961442395
m3,real,1234,test,2,0.8043349241064044,0.5813004981906136,0.31730848672058387
m3,real,1234,val,4,0.9008127704964868,0.6278587630749066,0.110204356583945
m3,real,1234,test,4,0.935972564495083,0.654769272379515,0.10853452301777877
m3,real,1234,val,8,0.9630730840986785,0.663109892229468,-0.004233604917592171
m3,real,1234,test,8,0.9786085793701397,0.6712975251648421,-0.018241271678965054
m1,real,1235,val,2,0.810592593852617,0.5694623372805683,0.3058649956277919
m1,real,1235,test,2,0.8098527360951405,0.5735713915843179,0.30790970479017954
m1,real,1235,val,4,0.8955958699629871,0.6161903208332971,0.12048070683524081
m1,real,1235,test,4,0.9251579666781095,0.6394613862221463,0.12901619933823194
m1,real,1235,val,8,0.95022670283937,0.6517623336185115,0.02237855285556767
m1,real,1235,test,8,0.9633746953989568,0.6633199187567651,0.013213662954741245
m2,real,1235,val,2,0.8093547676138965,0.5697279211985629,0.30798335320367454
m2,real,1235,test,2,0.7826620708431447,0.5637402223047628,0.3536031562837384
m2,real,1235,val,4,0.8954274276941678,0.6225820342556485,0.12081151294642556
m2,real,1235,test,4,0.9040848338913885,0.6413406107718593,0.16824262619579922
m2,real,1235,val,8,0.9508742770151826,0.6544807399375441,0.021045611733086722
m2,real,1235,test,8,0.9383377434886153,0.6561791262593388,0.06383795473872866
m3,real,1235,val,2,0.8174950896109967,0.5789098641923867,0.2939930302233157
m3,real,1235,test,2,0.8113820943001303,0.5825226921225046,0.305293294824023
m3,real,1235,val,4,0.9014738903190549,0.6254956093590092,0.10889780893254641
m3,real,1235,test,4,0.9276905828910854,0.6510707828245597,0.12424104298369498
m3,real,1235,val,8,0.9630483576263865,0.6670912784861873,-0.004182039078919786
m3,real,1235,test,8,0.9801908682329501,0.6780230411343244,-0.0215366736901359
m1,real,1236,val,2,0.8127055816749997,0.5724456119367711,0.30224144796911745
m1,real,1236,test,2,0.8097451578083789,0.5749806697195188,0.30809356276784616
m1,real,1236,val,4,0.8913154282279954,0.6139988333501196,0.12886782556247867
m1,real,1236,test,4,0.9201886276090249,0.6387763371932891,0.13834777260050457
m1,real,1236,val,8,0.9506175489630896,0.6522240179676062,0.021574159263369697
m1,real,1236,test,8,0.9576443308579929,0.6575830042255846,0.02491799341923351
m2,real,1236,val,2,0.8142921525949482,0.5709343603906392,0.2995144480746956
m2,real,1236,test,2,0.7875790507117618,0.5646201188327589,0.3454558240111191
m2,real,1236,val,4,0.9009456944872112,0.6179885462867936,0.10994174060408035
m2,real,1236,test,4,0.9148269340185416,0.6361023172513129,0.14835975401397383
m2,real,1236,val,8,0.9519330855009531,0.6541618074616099,0.018864245953404635
m2,real,1236,test,8,0.9387312630418413,0.6550859318089788,0.06305257586711732
m3,real,1236,val,2,0.8198290710346121,0.5772325993518455,0.28995591868274795
m3,real,1236,test,2,0.8108125813517298,0.5770301945922591,0.30626818843913217
m3,real,1236,val,4,0.8984287207109304,0.6224556181536538,0.11490790895785752
m3,real,1236,test,4,0.9234658237274314,0.6423652284638125,0.13219939898985122
m3,real,1236,val,8,0.96787104618529,0.6697908313675636,-0.014264571402967663
m3,real,1236,test,8,0.9853951834837632,0.6789708185938791,-0.032413152446918
m1,real,1237,val,2,0.8113098779232191,0.5704501524470669,0.30463598792476776
m1,real,1237,test,2,0.8079222862742097,0.5744930069176429,0.31120525016001777
m1,real,1237,val,4,0.8889289465044425,0.6131605344650747,0.13352646330832119
m1,real,1237,test,4,0.9164088891191247,0.6365128296950487,0.14541182704392364
m1,real,1237,val,8,0.9518618985637904,0.6525033044215368,0.019010981976798513
m1,real,1237,test,8,0.9577057229622649,0.6578050334421331,0.02479296943464404
m2,real,1237,val,2,0.8124100596065568,0.5717655337410692,0.3027488040514982
m2,real,1237,test,2,0.7887148138632615,0.5672438803749646,0.3435666341272473
m2,real,1237,val,4,0.889678423734006,0.6121603007469543,0.13206475829450137
m2,real,1237,test,4,0.8955069108141358,0.6286661481086372,0.18395111588847868
m2,real,1237,val,8,0.9514967628960813,0.6537993698345546,0.019763455373948635
m2,real,1237,test,8,0.9370500338673536,0.6535871216004847,0.06640563936076405
m3,real,1237,val,2,0.8022995645877586,0.5775508888587255,0.31999548528444555
m3,real,1237,test,2,0.7981842972585809,0.5773686930686854,0.32770944319124695
m3,real,1237,val,4,0.8985867815428666,0.6260138224824237,0.11459645253352913
m3,real,1237,test,4,0.9271159011012204,0.6505990276574467,0.125325729728335
m3,real,1237,val,8,0.9631109820538135,0.6623250211285646,-0.004312641803893014
m3,real,1237,test,8,0.9854207340172806,0.6741998150532134,-0.032466692487071125
m1,real,1238,val,2,0.8112823311898952,0.5721229043161834,0.3046832070757628
m1,real,1238,test,2,0.8088095779655512,0.5755845990845792,0.309691496993833
m1,real,1238,val,4,0.8916944050172367,0.6146063998365714,0.12812687785846777
m1,real,1238,test,4,0.9233334060416123,0.6412948683228299,0.13244825261418647
m1,real,1238,val,8,0.9473278241850585,0.6498235421375815,0.028334359091734207
m1,real,1238,test,8,0.9552491365218027,0.6584431739070905,0.029789510149319742
m2,real,1238,val,2,0.8065786960405472,0.5704112433878941,0.31272241985492055
m2,real,1238,test,2,0.7804369644546959,0.5643203118297505,0.35727334104348496
m2,real,1238,val,4,0.8906346628171902,0.6132003875609484,0.13019801723248703
m2,real,1238,test,4,0.8982772255583602,0.6310277242176996,0.1788942948501797
m2,real,1238,val,8,0.9497592852282057,0.6528683575662491,0.023340102538661367
m2,real,1238,test,8,0.935020680012089,0.6528337735740306,0.0704450005513424
m3,real,1238,val,2,0.8045919247285647,0.5706562496749951,0.3161040655045101
m3,real,1238,test,2,0.8002274640809556,0.5752768856072358,0.32426322202032354
m3,real,1238,val,4,0.898121095561599,0.6229624997347165,0.11551392247050107
m3,real,1238,test,4,0.9273299016032048,0.6470693942457336,0.12492189168482526
m3,real,1238,val,8,0.9561616663005568,0.6610519971556893,0.0101282820697145
m3,real,1238,test,8,0.9771173614622715,0.674277242918391,-0.015140414490596665
