model,graph,seed,split,h,rmse,mae,r2
b1,real,1234,val,1,0.7813671362090793,0.5493680088406903,0.35356620880308676
b1,real,1234,test,1,0.7482563173192596,0.5418676460982215,0.43142834780434347
m1,real,1234,val,1,0.7625495467390502,0.5378015516767854,0.3843272915344953
m1,real,1234,test,1,0.7594512376754836,0.5461801085810185,0.4142878852427333
m2,real,1234,val,1,0.7557678055815384,0.5314374050372852,0.3952295765965901
m2,real,1234,test,1,0.7292162907614632,0.5298518961608877,0.45999579322497
m2,edges,1234,val,1,0.7563567012083626,0.532026011485895,0.394286733014209
m2,edges,1234,test,1,0.729883847640157,0.5304460835438329,0.4590066531615512
m2,weights,1234,val,1,0.7569563467318943,0.532343031426033,0.39332592384132203
m2,weights,1234,test,1,0.7300731163752507,0.5305393454781733,0.4587260430268254
m3,real,1234,val,1,0.7478456146364876,0.5331015505408536,0.40784190490272676
m3,real,1234,test,1,0.7380103142906466,0.5369011687355782,0.44689283865517815
m3,edges,1234,val,1,0.7477975863633901,0.5331792514325593,0.40791796182383855
m3,edges,1234,test,1,0.7380514421659848,0.5368624065769403,0.44683118977088976
m3,weights,1234,val,1,0.7476015949223588,0.5330764221834852,0.4082282805706211
m3,weights,1234,test,1,0.7384769008775537,0.5370989240169088,0.4461932441992036
m3_nolatent,real,1234,val,1,0.7505981151166604,0.5347488349910545,0.403474920807001
m3_nolatent,real,1234,test,1,0.7364368048197109,0.5366892252505935,0.449248880399857
m2_identity,real,1234,val,1,0.7801952945613772,0.5494327099716485,0.35550371030970895
m2_identity,real,1234,test,1,0.7481329407808058,0.542292060213158,0.43161583066940934
b1,real,1235,val,1,0.7828976570305459,0.5499527029301092,0.35103129450480075
b1,real,1235,test,1,0.7509357932008618,0.5428580045839715,0.4273489922588888
m1,real,1235,val,1,0.7636629286421079,0.5392297486168054,0.38252811853365976
m1,real,1235,test,1,0.7591920094250996,0.5449257707478394,0.4146876665746475
m2,real,1235,val,1,0.7531625176384232,0.5308506479275982,0.3993919274387505
m2,real,1235,test,1,0.7302656049220096,0.5313150571566281,0.4584405845704076
m2,edges,1235,val,1,0.7554687396922756,0.5327398182048908,0.39570811092349745
m2,edges,1235,test,1,0.7307191245640392,0.5318352308640919,0.4577677222694768
m2,weights,1235,val,1,0.7560718904377681,0.5331001401792537,0.39474281724407945
m2,weights,1235,test,1,0.7309344093217821,0.5319080444127765,0.45744816982644854
m3,real,1235,val,1,0.7546839082664865,0.5368516410695152,0.39696301636093845
m3,real,1235,test,1,0.7477679722893593,0.5445432434522558,0.43217025543084797
m3,edges,1235,val,1,0.7544408627240551,0.536810283343412,0.3973513692820164
m3,edges,1235,test,1,0.7473676072833051,0.5443772403960092,0.4327781399814744
m3,weights,1235,val,1,0.7544233462068777,0.536806161538324,0.3973793534039429
m3,weights,1235,test,1,0.7476387852810075,0.5445625010755589,0.4323664389851941
m3_nolatent,real,1235,val,1,0.7550215536224678,0.5366556914500618,0.3964232985190803
m3_nolatent,real,1235,test,1,0.7460599967520986,0.5435845977671041,0.43476125088612316
m2_identity,real,1235,val,1,0.7808935207891508,0.5511235645581505,0.3543496259947082
m2_identity,real,1235,test,1,0.7483182820627252,0.5426573564309253,0.4313341745790751
b1,real,1236,val,1,0.7838679882071933,0.5504085385290665,0.34942162100734
b1,real,1236,test,1,0.7505543831513735,0.5431013272573932,0.4279305583083668
m1,real,1236,val,1,0.7623000578018744,0.5388057113768236,0.3847300939557735
m1,real,1236,test,1,0.75915682206197,0.5458803306532221,0.4147419219410843
m2,real,1236,val,1,0.753568392302002,0.5319196708063746,0.3987444250015121
m2,real,1236,test,1,0.7308219583796965,0.531849748443022,0.4576150952593291
m2,edges,1236,val,1,0.7541260343763525,0.5323798399871402,0.3978542351649711
m2,edges,1236,test,1,0.7312890312160794,0.5322524385462077,0.45692159062009785
m2,weights,1236,val,1,0.7545869302512046,0.5326720168838924,0.39711798871878246
m2,weights,1236,test,1,0.7314426242046524,0.532310727429534,0.4566934406219292
m3,real,1236,val,1,0.7560864129842646,0.5364811336016404,0.39471956559272814
m3,real,1236,test,1,0.7481289327178761,0.5429039209133153,0.43162192079936457
m3,edges,1236,val,1,0.7565725671293714,0.5368582236955115,0.3939409397909408
m3,edges,1236,test,1,0.7484250227755243,0.5430010023576135,0.43117193312075863
m3,weights,1236,val,1,0.756447864247614,0.5366935438661598,0.39414071199006884
m3,weights,1236,test,1,0.7487167080384687,0.5431033053411323,0.43072846559590916
m3_nolatent,real,1236,val,1,0.756189913416003,0.535657327228644,0.3945538409531698
m3_nolatent,real,1236,test,1,0.7459605712220674,0.540867096805334,0.4349118967261608
m2_identity,real,1236,val,1,0.7834045517324606,0.5521978381480421,0.3501906602549586
m2_identity,real,1236,test,1,0.750799012189818,0.5442459161184983,0.42755758705733005
b1,real,1237,val,1,0.7838395887652395,0.551004098129633,0.34946876090460777
b1,real,1237,test,1,0.7499265600200044,0.5433558935249007,0.42888720641282085
m1,real,1237,val,1,0.7657484000619702,0.5387511940024476,0.37915103103337355
