model,graph,seed,split,h,rmse,mae,r2
m3_zshuffle,real,1234,val,1,0.7535545574516161,0.5321747714545441,0.3414715902763106
m3_zshuffle,real,1234,test,1,0.7555276730383138,0.5428206292747226,0.39671777922762463
m3_zshuffle,real,1235,val,1,0.7502928480375473,0.5307243676966575,0.347160042988225
m3_zshuffle,real,1235,test,1,0.7508713761073634,0.5427770790318532,0.4041308897422239
m3_zshuffle,real,1236,val,1,0.7532935965385988,0.5309707579205132,0.34192761676284866
m3_zshuffle,real,1236,test,1,0.7525735163019297,0.5435108526896849,0.40142629240762195
m3_zshuffle,real,1237,val,1,0.7470615554440907,0.5317235384375091,0.3527711170803737
m3_zshuffle,real,1237,test,1,0.74574247737812,0.5438629957337795,0.41224337011898204
m3_zshuffle,real,1238,val,1,0.7421462096210559,0.5240049548734875,0.36126007702971796
m3_zshuffle,real,1238,test,1,0.7408842388609044,0.5364619418366775,0.4198764628856847
